timestampMs,keys_pressed,errors,total_words,current_streak
1777341102751,0,0,0,0
1777341103752,5,0,1,1
1777341104752,6,0,2,2
1777341105752,5,0,2,2
1777341106752,8,0,3,3
1777341107752,5,0,4,4
1777341108753,10,2,5,0
1777341109753,5,2,5,0
1777341110753,11,0,6,1
1777341111753,9,0,7,2
1777341112753,7,0,8,3
1777341113753,9,0,10,5
1777341114754,8,2,10,0
1777341115754,7,0,10,0
1777341116754,7,0,12,2
1777341117754,8,0,13,3
1777341118754,4,2,13,0
1777341119754,6,0,13,0
1777341120754,10,0,15,2
1777341121755,7,0,16,3
1777341122755,11,2,18,0
1777341123755,8,2,18,0
1777341124755,5,1,19,0
1777341125755,7,0,20,1
1777341126756,6,0,21,2
1777341127756,9,0,23,4
1777341128757,3,2,23,0
1777341129757,5,0,24,1
1777341130757,9,0,25,2
1777341131757,6,0,25,2
1777341132757,5,2,26,0
1777341133758,10,0,27,1
1777341134758,10,0,29,3
1777341135758,13,0,30,4
1777341136758,8,0,31,5
1777341137758,10,0,32,6
1777341138758,8,0,33,7
1777341139758,5,0,33,7
1777341140759,7,0,34,8
1777341141759,9,0,35,9
1777341142759,9,0,36,10
1777341143759,8,0,37,11
1777341144759,9,0,38,12
1777341145759,7,0,39,13
1777341146760,7,0,40,14
1777341147760,9,0,41,15
1777341148760,4,1,41,0
1777341149760,4,0,42,1
1777341150761,8,0,43,2
1777341151761,7,0,43,2
1777341152761,5,0,45,4
1777341153761,1,0,45,4
1777341154761,5,0,45,4
1777341155761,8,0,47,6
1777341156761,9,0,48,7
1777341157761,5,1,48,0
1777341158762,8,0,49,1
1777341159762,9,0,50,2
1777341160762,9,0,51,3
1777341161762,8,2,52,0
1777341162762,7,0,53,1
1777341163762,9,0,54,2
1777341164762,5,3,54,0
1777341165762,10,0,55,1
1777341166763,8,0,55,1
1777341167763,8,0,57,3
1777341168763,9,0,58,4
1777341169763,9,0,60,6
1777341170763,6,0,61,7
1777341171763,10,0,62,8
1777341172763,9,0,63,9
1777341173764,9,0,64,10
1777341174764,9,0,65,11
1777341175764,5,2,65,0
1777341176764,10,0,66,1
1777341177764,12,0,67,2
1777341178764,3,0,67,2
1777341179764,6,1,68,0
1777341180765,8,0,69,1
1777341181765,7,0,70,2
1777341182765,8,0,71,3
1777341183765,11,0,72,4
1777341184765,10,2,73,0
1777341185765,5,2,73,0
1777341186766,7,0,74,1
1777341187766,8,0,75,2
1777341188766,7,0,76,3
1777341189766,8,0,77,4
1777341190766,10,0,79,6
1777341191766,6,0,79,6
1777341192766,6,1,80,0
1777341193767,7,0,81,1
1777341194767,9,0,82,2
1777341195767,10,0,83,3
1777341196767,9,0,85,5
1777341197767,11,0,86,6
1777341198767,10,0,87,7
1777341199767,7,0,88,8
1777341200768,8,0,89,9
1777341201768,1,1,89,0
1777341202768,7,0,90,1
1777341203768,8,0,91,2
1777341204768,4,0,91,2
1777341205769,8,0,92,3
1777341206769,8,0,93,4
1777341207769,6,0,94,5
1777341208769,10,0,96,7
1777341209770,10,0,97,8
1777341210770,6,0,98,9
1777341211770,9,0,99,10
1777341212770,10,2,100,0
1777341213770,5,0,100,0
1777341214770,6,0,101,1
1777341215770,8,0,102,2
1777341216771,11,0,103,3
1777341217771,11,0,104,4
1777341218771,9,0,105,5
1777341219771,5,0,106,6
1777341220772,8,0,107,7
1777341221772,4,0,108,8
1777341222772,4,0,108,8
1777341223772,9,0,109,9
1777341224772,10,0,111,11
1777341225772,2,1,111,0
1777341226772,7,0,111,0
1777341227773,6,0,112,1
1777341228773,12,0,114,3
1777341229773,10,0,115,4
1777341230773,12,0,117,6
1777341231773,11,0,118,7
1777341232773,5,2,119,0
1777341233774,5,0,119,0
1777341234774,6,0,121,2
1777341235774,9,2,122,0
1777341236774,3,0,122,0
1777341237774,6,0,123,1
1777341238774,4,0,124,2
1777341239774,8,0,125,3
1777341240775,5,0,126,4
1777341241775,5,0,126,4
1777341242775,6,0,127,5
1777341243775,8,0,128,6
1777341244775,7,0,129,7
1777341245776,5,0,130,8
1777341246776,9,0,131,9
1777341247776,9,0,132,10
1777341248776,11,0,133,11
1777341249776,7,0,134,12
1777341250776,11,0,136,14
1777341251777,9,0,137,15
1777341252777,10,0,138,16
1777341253777,2,0,139,17
1777341254777,8,0,140,18
1777341255777,13,0,141,19
1777341256778,10,0,142,20
1777341257778,10,0,143,21
1777341258778,10,0,144,22
1777341259779,9,0,145,23
1777341260779,11,0,146,24
1777341261779,8,0,147,25
1777341262779,9,0,149,27
1777341263779,0,0,149,27
1777341264780,12,0,150,28
1777341265780,10,0,151,29
1777341266780,6,0,152,30
1777341267780,9,0,152,30
1777341268780,6,0,153,31
1777341269780,9,0,154,32
1777341270781,10,0,156,34
1777341271781,9,0,157,35
1777341272781,8,0,158,36
1777341273781,3,0,158,36
1777341274781,6,0,159,37
1777341275781,11,0,161,39
1777341276781,11,0,162,40
