timestampMs,keys_pressed,errors,total_correct,current_streak
1777319768603,0,0,0,0
1777319769603,1,0,1,1
1777319770603,2,0,3,3
1777319771603,2,0,5,5
1777319772603,1,0,6,6
1777319773604,3,0,9,9
1777319774604,2,0,11,11
1777319775604,2,0,13,13
1777319776604,1,0,14,14
1777319777604,2,0,16,16
1777319778604,3,0,19,19
1777319779605,2,0,21,21
1777319780605,2,0,23,23
1777319781605,2,0,25,25
1777319782605,2,0,27,27
1777319783605,2,0,29,29
1777319784606,2,0,31,31
1777319785606,2,0,33,33
1777319786606,1,0,34,34
1777319787606,2,0,36,36
1777319788606,1,0,37,37
1777319789607,2,1,38,1
1777319790607,2,0,40,3
1777319791607,2,0,42,5
1777319792607,2,1,43,1
1777319793607,2,0,45,3
1777319794607,1,0,46,4
1777319795607,2,0,48,6
1777319796608,2,0,50,8
1777319797608,3,0,53,11
1777319798608,1,0,54,12
1777319799608,2,0,56,14
1777319800608,2,0,58,16
1777319801609,2,0,60,18
1777319802609,2,0,62,20
1777319803609,1,1,62,0
1777319804609,1,0,63,1
1777319805610,3,0,66,4
1777319806610,2,0,68,6
1777319807610,2,0,70,8
1777319808610,2,0,72,10
1777319809610,2,0,74,12
1777319810610,2,0,76,14
1777319811610,2,0,78,16
1777319812611,1,0,79,17
1777319813611,2,0,81,19
1777319814611,0,0,81,19
1777319815611,3,1,83,0
1777319816611,1,0,84,1
1777319817612,2,0,86,3
1777319818612,1,0,87,4
1777319819612,2,0,89,6
1777319820612,2,1,90,0
1777319821613,2,0,92,2
1777319822613,3,0,95,5
1777319823613,2,0,97,7
1777319824613,2,0,99,9
1777319825613,2,0,101,11
1777319826613,3,0,104,14
1777319827614,1,0,105,15
1777319828614,2,0,107,17
1777319829614,2,0,109,19
1777319830614,2,0,111,21
1777319831614,1,0,112,22
1777319832615,1,0,113,23
1777319833615,2,0,115,25
1777319834615,2,0,117,27
1777319835615,2,0,119,29
1777319836615,1,1,119,0
1777319837615,2,0,121,2
1777319838616,1,0,122,3
1777319839616,3,0,125,6
1777319840616,1,0,126,7
1777319841616,2,0,128,9
1777319842617,2,0,130,11
1777319843617,1,1,130,0
1777319844617,2,0,132,2
1777319845617,2,0,134,4
1777319846617,3,0,137,7
1777319847618,1,1,137,0
1777319848618,2,0,139,2
1777319849618,2,0,141,4
1777319850618,2,0,143,6
1777319851618,3,0,146,9
1777319852619,1,0,147,10
1777319853619,2,0,149,12
1777319854619,2,0,151,14
1777319855619,2,0,153,16
1777319856619,2,0,155,18
1777319857619,3,0,158,21
1777319858620,2,0,160,23
1777319859620,2,0,162,25
1777319860620,1,1,162,0
1777319861620,2,0,164,2
1777319862620,2,0,166,4
1777319863621,2,1,167,1
1777319864621,2,0,169,3
1777319865621,1,0,170,4
1777319866621,2,0,172,6
1777319867621,2,0,174,8
1777319868621,2,0,176,10
1777319869622,2,0,178,12
1777319870622,2,0,180,14
1777319871622,2,0,182,16
1777319872622,2,0,184,18
1777319873622,2,0,186,20
1777319874622,2,0,188,22
1777319875623,2,0,190,24
1777319876623,2,0,192,26
1777319877623,2,0,194,28
1777319878623,3,1,196,0
1777319879623,1,0,197,1
1777319880623,2,0,199,3
1777319881624,1,0,200,4
1777319882624,3,0,203,7
1777319883624,2,0,205,9
1777319884624,2,0,207,11
1777319885624,1,0,208,12
1777319886624,3,0,211,15
1777319887625,1,0,212,16
1777319888625,1,1,212,0
1777319889625,2,0,214,2
1777319890625,2,0,216,4
1777319891625,2,0,218,6
1777319892626,2,1,219,0
1777319893626,2,0,221,2
1777319894626,2,0,223,4
1777319895627,2,0,225,6
1777319896627,1,0,226,7
1777319897627,2,1,227,0
1777319898627,2,0,229,2
1777319899627,2,0,231,4
1777319900627,2,0,233,6
1777319901628,2,0,235,8
1777319902628,1,0,236,9
1777319903628,2,0,238,11
1777319904628,1,1,238,0
1777319905628,3,1,240,0
1777319906629,0,0,240,0
1777319907629,2,0,242,2
1777319908629,1,0,243,3
1777319909629,2,0,245,5
1777319910629,2,0,247,7
1777319911629,1,0,248,8
1777319912630,3,0,251,11
1777319913630,1,0,252,12
1777319914630,2,0,254,14
1777319915630,3,0,257,17
1777319916630,2,0,259,19
1777319917630,2,0,261,21
1777319918630,2,0,263,23
1777319919631,1,0,264,24
1777319920631,3,0,267,27
1777319921631,2,0,269,29
1777319922632,2,0,271,31
1777319923632,2,0,273,33
1777319924632,2,0,275,35
1777319925632,2,0,277,37
1777319926632,2,0,279,39
1777319927633,2,0,281,41
1777319928633,1,1,281,0
1777319929633,1,0,282,1
1777319930633,2,0,284,3
1777319931633,1,1,284,0
1777319932633,2,0,286,2
1777319933634,2,0,288,4
1777319934634,1,0,289,5
1777319935634,2,0,291,7
1777319936634,2,0,293,9
1777319937634,3,0,296,12
1777319938635,1,0,297,13
1777319939635,3,0,300,16
1777319940635,1,0,301,17
1777319941635,2,0,303,19
1777319942636,1,0,304,20
1777319943636,3,0,307,23
1777319944636,2,0,309,25
1777319945636,1,0,310,26
1777319946636,2,0,312,28
1777319947636,1,0,313,29
1777319948637,2,0,315,31
1777319949637,1,0,316,32
1777319950637,2,0,318,34
1777319951637,1,0,319,35
1777319952637,2,0,321,37
1777319953638,2,0,323,39
1777319954638,1,0,324,40
1777319955638,2,0,326,42
1777319956638,2,0,328,44
1777319957638,1,0,329,45
1777319958639,1,0,330,46
1777319959639,2,1,331,0
1777319960639,2,0,333,2
1777319961639,1,0,334,3
1777319962639,2,0,336,5
1777319963640,2,0,338,7
1777319964640,2,0,340,9
1777319965640,2,0,342,11
1777319966640,1,1,342,0
1777319967641,3,0,345,3
1777319968641,1,1,345,0
1777319969641,1,0,346,1
1777319970641,2,0,348,3
1777319971641,1,0,349,4
1777319972642,2,0,351,6
1777319973642,2,0,353,8
1777319974642,2,0,355,10
1777319975642,2,0,357,12
1777319976642,2,0,359,14
1777319977643,2,0,361,16
1777319978643,1,0,362,17
1777319979643,3,0,365,20
1777319980643,1,0,366,21
1777319981643,3,0,369,24
1777319982644,2,0,371,26
1777319983644,1,1,371,0
1777319984644,2,0,373,2
1777319985644,0,0,373,2
1777319986644,1,0,374,3
1777319987644,2,0,376,5
1777319988645,2,0,378,7
1777319989645,1,0,379,8
1777319990645,2,0,381,10
1777319991645,2,0,383,12
1777319992645,1,0,384,13
1777319993645,2,0,386,15
1777319994646,2,0,388,17
1777319995646,2,0,390,19
1777319996646,2,0,392,21
