timestampMs,keys_pressed,errors,total_correct
1776756315897,0,0,0
1776756316897,0,0,0
1776756317897,2,0,2
1776756318897,2,0,4
1776756319898,1,0,5
1776756320898,2,0,7
1776756321898,1,0,8
1776756322899,2,0,10
1776756323899,2,0,12
1776756324899,1,0,13
1776756325899,2,0,15
1776756326899,1,0,16
1776756327900,2,0,18
1776756328900,1,1,18
1776756329900,1,0,19
1776756330900,1,0,20
1776756331900,2,0,22
1776756332900,1,1,22
1776756333901,1,0,23
1776756334901,2,0,25
1776756335901,1,0,26
1776756336901,2,0,28
1776756337901,2,0,30
1776756338901,2,0,32
1776756339902,2,0,34
1776756340902,1,0,35
1776756341902,2,0,37
1776756342903,1,0,38
1776756343903,2,0,40
1776756344903,2,1,41
1776756345904,1,0,42
1776756346904,1,0,43
1776756347904,2,0,45
1776756348904,2,0,47
1776756349904,1,0,48
1776756350905,2,0,50
1776756351905,2,0,52
1776756352905,1,0,53
1776756353905,2,0,55
1776756354905,2,0,57
1776756355905,1,0,58
1776756356906,2,0,60
1776756357906,1,0,61
1776756358906,3,0,64
1776756359906,1,0,65
1776756360906,2,0,67
1776756361906,2,0,69
1776756362907,2,0,71
1776756363907,2,0,73
1776756364907,2,0,75
1776756365907,1,0,76
1776756366907,2,0,78
1776756367908,2,0,80
1776756368908,1,0,81
1776756369908,2,0,83
1776756370908,2,0,85
1776756371908,1,0,86
1776756372908,2,0,88
1776756373909,1,0,89
1776756374909,1,0,90
1776756375909,2,0,92
1776756376909,1,0,93
1776756377910,1,0,94
1776756378910,2,0,96
1776756379910,2,1,97
1776756380910,0,0,97
1776756381910,1,0,98
1776756382911,1,0,99
1776756383911,3,0,102
1776756384911,1,0,103
1776756385911,2,0,105
1776756386911,2,0,107
1776756387911,2,0,109
1776756388912,2,0,111
1776756389912,1,0,112
1776756390912,2,0,114
1776756391912,2,0,116
1776756392913,2,0,118
1776756393913,1,0,119
1776756394913,2,0,121
1776756395913,1,0,122
1776756396913,1,0,123
1776756397913,2,1,124
1776756398914,0,0,124
1776756399914,0,0,124
1776756400914,1,0,125
1776756401914,2,0,127
1776756402914,1,0,128
1776756403915,1,1,128
1776756404915,1,0,129
1776756405916,2,0,131
1776756406916,1,0,132
1776756407916,1,0,133
1776756408916,2,1,134
1776756409917,1,0,135
1776756410917,1,0,136
1776756411917,2,0,138
1776756412917,2,0,140
1776756413917,1,1,140
1776756414917,1,0,141
1776756415918,2,0,143
1776756416918,1,0,144
1776756417918,1,0,145
1776756418918,2,0,147
1776756419918,2,0,149
1776756420918,1,0,150
1776756421919,2,0,152
1776756422919,2,0,154
1776756423919,2,0,156
1776756424919,1,0,157
1776756425919,1,0,158
1776756426919,2,0,160
1776756427919,2,0,162
1776756428920,1,0,163
1776756429920,1,0,164
1776756430920,1,0,165
1776756431920,2,0,167
1776756432920,1,0,168
1776756433921,1,0,169
1776756434921,2,0,171
1776756435921,1,0,172
1776756436921,1,0,173
1776756437921,2,0,175
1776756438921,1,1,175
1776756439922,1,1,175
1776756440922,0,0,175
1776756441922,0,0,175
1776756442922,1,0,176
1776756443923,2,0,178
1776756444923,2,0,180
1776756445923,1,0,181
1776756446923,1,0,182
1776756447923,2,0,184
1776756448924,2,0,186
1776756449924,1,1,186
1776756450924,1,0,187
1776756451924,1,0,188
1776756452924,1,0,189
1776756453924,2,0,191
1776756454925,1,0,192
1776756455925,2,0,194
1776756456925,1,0,195
1776756457925,2,0,197
1776756458925,1,0,198
1776756459926,2,0,200
1776756460926,1,0,201
1776756461926,2,0,203
1776756462926,1,0,204
1776756463926,1,1,204
1776756464926,1,1,204
1776756465927,0,0,204
1776756466927,1,0,205
1776756467927,1,0,206
1776756468928,1,0,207
1776756469928,2,0,209
1776756470928,2,0,211
1776756471928,1,0,212
1776756472928,2,0,214
1776756473928,1,0,215
1776756474929,1,0,216
1776756475929,2,0,218
1776756476929,1,0,219
1776756477929,2,0,221
1776756478929,2,0,223
1776756479929,1,0,224
1776756480930,2,0,226
1776756481930,1,0,227
1776756482930,1,0,228
1776756483930,1,0,229
1776756484931,2,0,231
1776756485931,2,0,233
1776756486931,1,0,234
1776756487931,1,0,235
1776756488931,1,0,236
1776756489931,1,1,236
1776756490932,1,0,237
1776756491932,1,0,238
1776756492932,1,0,239
1776756493932,2,0,241
1776756494932,1,0,242
1776756495932,1,0,243
1776756496933,2,0,245
1776756497933,1,0,246
1776756498933,1,1,246
1776756499933,0,0,246
1776756500933,2,1,247
1776756501934,1,0,248
1776756502934,1,0,249
1776756503934,1,0,250
1776756504934,1,0,251
1776756505934,1,0,252
1776756506934,2,0,254
1776756507935,1,0,255
1776756508935,2,0,257
1776756509935,1,0,258
1776756510935,2,0,260
1776756511935,1,0,261
1776756512935,1,0,262
1776756513936,2,0,264
1776756514936,2,0,266
1776756515936,1,0,267
1776756516936,2,0,269
1776756517936,2,0,271
1776756518936,1,0,272
1776756519936,3,2,273
