timestampMs,keys_pressed,errors,total_words,current_streak
1777320676357,0,0,0,0
1777320677358,3,0,0,0
1777320678358,7,3,0,0
1777320679358,10,0,1,1
1777320680358,12,0,3,3
1777320681358,9,0,4,4
1777320682359,10,0,5,5
1777320683359,5,0,6,6
1777320684359,4,1,6,0
1777320685359,10,0,8,2
1777320686360,11,0,9,3
1777320687360,7,0,10,4
1777320688360,3,1,10,0
1777320689360,8,0,11,1
1777320690360,7,0,11,1
1777320691360,6,2,12,0
1777320692360,7,0,13,1
1777320693361,10,0,14,2
1777320694361,8,0,15,3
1777320695361,6,0,15,3
1777320696361,6,0,16,4
1777320697361,11,0,17,5
1777320698361,12,0,18,6
1777320699361,10,0,19,7
1777320700362,10,0,21,9
1777320701362,8,2,22,0
1777320702362,6,1,22,0
1777320703362,8,0,23,1
1777320704362,8,0,24,2
1777320705362,6,0,26,4
1777320706363,11,0,27,5
1777320707363,5,0,28,6
1777320708363,8,0,29,7
1777320709363,9,0,30,8
1777320710363,9,0,31,9
1777320711363,8,1,32,0
1777320712364,7,1,33,0
1777320713364,0,0,33,0
1777320714364,10,0,34,1
1777320715364,12,0,35,2
1777320716364,11,2,37,0
1777320717364,5,2,37,0
1777320718364,10,0,38,1
1777320719365,8,0,39,2
1777320720365,5,0,40,3
1777320721365,10,0,41,4
1777320722365,7,0,43,6
1777320723365,10,0,44,7
1777320724365,9,0,45,8
1777320725366,8,0,46,9
1777320726366,9,0,47,10
1777320727366,10,0,48,11
1777320728366,8,4,48,0
1777320729366,7,0,50,2
1777320730366,8,0,51,3
1777320731366,11,1,52,0
1777320732367,1,0,52,0
1777320733367,8,0,53,1
1777320734367,9,0,54,2
1777320735367,9,0,55,3
1777320736367,4,0,56,4
1777320737367,3,1,56,0
1777320738367,9,0,57,1
1777320739368,9,0,58,2
1777320740368,8,0,59,3
1777320741368,8,0,59,3
1777320742368,10,0,61,5
1777320743368,4,3,61,0
1777320744368,7,0,62,1
1777320745368,3,0,62,1
1777320746369,5,1,63,0
1777320747369,7,0,63,0
1777320748369,8,0,64,1
1777320749369,9,0,65,2
1777320750369,3,1,65,0
1777320751370,6,0,66,1
1777320752370,8,0,67,2
1777320753370,8,0,68,3
1777320754370,7,0,69,4
1777320755370,11,0,71,6
1777320756370,9,0,72,7
1777320757370,4,2,72,0
1777320758371,12,0,73,1
1777320759371,7,0,74,2
1777320760371,9,0,75,3
1777320761371,9,0,77,5
1777320762371,6,0,77,5
1777320763372,9,0,78,6
1777320764372,3,1,79,0
1777320765372,9,0,80,1
1777320766372,8,0,81,2
1777320767372,7,1,81,0
1777320768372,6,0,81,0
1777320769373,6,0,82,1
1777320770373,8,0,83,2
1777320771373,2,2,83,0
1777320772373,4,0,83,0
1777320773373,5,0,84,1
1777320774373,9,0,85,2
1777320775374,8,0,87,4
1777320776374,7,0,88,5
1777320777374,9,0,89,6
1777320778374,10,0,90,7
1777320779374,6,0,91,8
1777320780374,7,0,92,9
1777320781375,8,0,93,10
1777320782375,4,0,94,11
1777320783375,7,0,95,12
1777320784375,7,0,96,13
1777320785375,10,0,97,14
1777320786375,7,4,98,0
1777320787376,8,0,99,1
1777320788376,7,0,100,2
1777320789376,9,0,102,4
1777320790376,6,2,102,0
1777320791376,7,0,103,1
1777320792376,9,0,105,3
1777320793376,12,0,106,4
1777320794377,6,0,107,5
1777320795377,6,0,108,6
1777320796377,5,0,108,6
1777320797377,9,0,110,8
1777320798378,3,1,110,0
1777320799378,7,0,111,1
1777320800378,9,0,113,3
1777320801378,2,1,113,0
1777320802378,11,0,114,1
1777320803378,9,0,115,2
1777320804379,9,0,116,3
1777320805379,10,0,117,4
1777320806379,9,0,118,5
1777320807380,9,0,119,6
1777320808380,8,0,121,8
1777320809380,11,0,122,9
1777320810380,5,0,123,10
1777320811380,8,0,124,11
1777320812381,9,0,125,12
1777320813381,6,0,126,13
1777320814381,11,0,128,15
1777320815381,10,0,129,16
1777320816381,6,0,130,17
1777320817382,4,3,130,0
1777320818382,8,0,131,1
1777320819382,11,0,132,2
1777320820382,3,1,133,0
1777320821382,4,0,133,0
1777320822382,11,0,135,2
1777320823383,10,0,135,2
1777320824383,8,0,136,3
1777320825383,7,0,137,4
1777320826383,12,0,139,6
1777320827383,14,0,139,6
1777320828383,8,0,141,8
1777320829383,11,0,142,9
1777320830384,7,0,144,11
1777320831384,10,0,145,12
1777320832384,9,0,146,13
1777320833384,10,0,147,14
1777320834384,8,0,148,15
1777320835384,11,0,150,17
1777320836384,3,2,150,0
1777320837385,9,0,151,1
1777320838385,3,0,151,1
1777320839385,8,0,152,2
1777320840385,9,3,153,0
1777320841385,6,0,154,1
1777320842385,9,0,155,2
1777320843386,7,0,156,3
1777320844386,12,0,158,5
1777320845386,8,0,159,6
1777320846386,6,0,160,7
1777320847386,6,2,160,0
1777320848387,3,1,160,0
1777320849387,10,0,161,1
1777320850387,9,0,162,2
1777320851387,5,0,162,2
1777320852387,12,1,163,0
1777320853387,8,4,164,1
1777320854388,7,0,165,2
1777320855388,10,0,166,3
1777320856388,6,1,166,0
1777320857388,1,1,166,0
1777320858389,11,0,167,1
1777320859389,9,0,169,3
1777320860389,9,0,170,4
1777320861389,7,0,170,4
1777320862389,7,0,172,6
1777320863389,11,0,173,7
1777320864389,9,0,174,8
1777320865390,5,1,175,0
1777320866390,5,2,175,0
1777320867390,8,0,176,1
1777320868390,11,0,178,3
1777320869390,10,0,179,4
1777320870390,8,3,180,0
1777320871391,7,0,180,0
1777320872391,7,2,181,0
1777320873391,4,1,181,0
1777320874391,5,2,181,0
1777320875391,9,1,182,0
1777320876391,6,0,182,0
1777320877391,12,0,184,2
1777320878392,4,1,184,0
1777320879392,4,0,184,0
1777320880392,10,0,185,1
1777320881392,11,0,187,3
1777320882392,9,0,188,4
1777320883393,7,0,189,5
1777320884393,3,1,189,0
1777320885393,9,0,190,1
1777320886393,8,0,191,2
1777320887393,6,0,191,2
1777320888393,10,0,193,4
1777320889393,6,0,193,4
1777320890394,9,0,194,5
1777320891394,12,0,195,6
1777320892394,11,0,197,8
1777320893394,10,0,197,8
1777320894396,12,0,199,10
1777320895396,5,0,199,10
1777320896396,4,0,200,11
1777320897396,2,0,200,11
1777320898396,5,3,201,0
1777320899397,9,7,201,0
1777320900397,4,0,202,1
1777320901397,4,0,202,1
1777320902397,8,0,203,2
1777320903397,4,0,204,3
1777320904397,9,0,205,4
1777320905397,10,0,207,6
1777320906398,2,2,207,0
1777320907398,10,0,208,1
1777320908398,8,1,209,0
1777320909398,5,0,209,0
1777320910398,5,1,210,0
1777320911398,7,3,211,0
1777320912399,8,0,212,1
1777320913399,9,0,213,2
1777320914399,9,0,214,3
1777320915399,9,0,216,5
1777320916399,10,0,217,6
1777320917399,12,0,219,8
1777320918400,6,0,219,8
1777320919400,5,0,220,9
1777320920400,5,1,221,0
1777320921400,7,0,222,1
1777320922400,3,1,222,0
1777320923401,4,3,222,0
1777320924401,6,3,222,0
1777320925401,9,0,222,0
1777320926401,9,0,223,1
1777320927401,7,0,224,2
1777320928401,9,0,226,4
1777320929401,7,0,227,5
1777320930402,12,0,228,6
1777320931402,9,0,230,8
1777320932402,3,1,230,0
1777320933402,7,1,231,0
1777320934402,2,0,231,0
1777320935402,11,0,232,1
1777320936402,10,0,233,2
1777320937403,7,0,235,4
1777320938403,4,0,235,4
1777320939403,11,0,236,5
1777320940403,6,0,237,6
1777320941403,8,0,238,7
1777320942403,8,0,240,9
1777320943404,11,0,241,10
1777320944404,10,0,243,12
1777320945404,12,0,244,13
1777320946404,11,0,246,15
1777320947404,4,0,247,16
1777320948404,7,0,248,17
1777320949405,9,3,249,0
1777320950405,1,1,249,0
1777320951405,0,0,249,0
1777320952405,6,0,249,0
1777320953405,11,4,250,0
1777320954405,7,0,250,0
1777320955406,9,0,251,1
1777320956406,9,0,252,2
1777320957406,9,0,253,3
1777320958406,8,0,254,4
1777320959406,8,0,255,5
1777320960406,11,0,256,6
1777320961406,9,0,258,8
1777320962407,7,0,259,9
1777320963407,5,0,260,10
1777320964407,9,0,261,11
1777320965407,4,1,261,0
1777320966407,9,0,262,1
1777320967408,9,0,263,2
1777320968408,9,0,264,3
1777320969408,8,0,265,4
1777320970408,6,0,266,5
1777320971408,9,0,268,7
1777320972408,8,0,269,8
1777320973409,9,0,270,9
1777320974409,9,0,271,10
