timestampMs,keys_pressed,errors,total_correct,current_streak
1777279053780,1,0,297,2
1777279054781,3,0,300,5
1777279055781,1,0,301,6
1777279056781,2,0,303,8
1777279057781,1,1,303,0
1777279058781,2,0,305,2
1777279059781,1,0,306,3
1777279060782,2,0,308,5
1777279061782,1,0,309,6
1777279062782,2,0,311,8
1777279063782,1,0,312,9
1777279064783,2,0,314,11
1777279065783,1,0,315,12
1777279066783,2,0,317,14
1777279067783,2,0,319,16
1777279068783,2,0,321,18
1777279069783,2,0,323,20
1777279070784,1,0,324,21
1777279071784,2,0,326,23
1777279072784,1,0,327,24
1777279073784,1,0,328,25
1777279074784,2,0,330,27
1777279075784,1,0,331,28
1777279076785,1,0,332,29
1777279077785,1,0,333,30
1777279078785,1,0,334,31
1777279079785,2,0,336,33
1777279080785,2,0,338,35
1777279081786,1,0,339,36
1777279082786,1,0,340,37
1777279083786,2,0,342,39
1777279084786,1,0,343,40
1777279085786,1,0,344,41
1777279086786,1,0,345,42
1777279087787,2,0,347,44
1777279088787,1,0,348,45
1777279089787,2,0,350,47
1777279090787,1,1,350,0
1777279091787,1,0,351,1
1777279092787,2,0,353,3
1777279093788,1,0,354,4
1777279094788,3,0,357,7
1777279095788,1,0,358,8
1777279096788,2,0,360,10
1777279097789,2,0,362,12
1777279098789,1,1,362,0
1777279099789,1,0,363,1
1777279100789,2,0,365,3
1777279101789,2,0,367,5
1777279102789,1,1,367,0
1777279103790,2,0,369,2
1777279104790,1,0,370,3
1777279105790,2,0,372,5
1777279106790,2,0,374,7
1777279107790,2,0,376,9
1777279108791,2,0,378,11
1777279109791,1,0,379,12
1777279110791,2,0,381,14
1777279111791,1,1,381,0
1777279112791,2,0,383,2
1777279113792,1,0,384,3
1777279114792,2,0,386,5
1777279115792,2,0,388,7
1777279116792,1,1,388,0
1777279117792,2,0,390,2
1777279118793,1,0,391,3
1777279119793,2,0,393,5
1777279120793,1,0,394,6
1777279121793,1,1,394,0
1777279122793,1,0,395,1
1777279123793,2,0,397,3
1777279124794,1,0,398,4
1777279125794,2,1,399,0
1777279126794,0,0,399,0
1777279127794,1,0,400,1
1777279128794,2,0,402,3
1777279129795,1,0,403,4
1777279130795,2,0,405,6
1777279131795,1,0,406,7
1777279132795,1,0,407,8
1777279133795,1,0,408,9
1777279134796,2,0,410,11
1777279135796,1,0,411,12
1777279136796,2,0,413,14
1777279137797,2,0,415,16
1777279138797,1,1,415,0
1777279139797,0,0,415,0
1777279140797,2,0,417,2
1777279141797,1,0,418,3
1777279142797,0,0,418,3
1777279143797,1,0,419,4
1777279144797,1,0,420,5
1777279145797,1,1,420,0
1777279146798,2,0,422,2
1777279147798,1,0,423,3
1777279148798,0,0,423,3
1777279149798,1,0,424,4
1777279150798,2,0,426,6
1777279151799,2,1,427,0
1777279152799,1,0,428,1
1777279153799,2,0,430,3
