timestampMs,keys_pressed,errors,total_words,current_streak
1777277804445,0,0,0,0
1777277805445,2,0,0,0
1777277806445,9,5,0,0
1777277807445,4,1,0,0
1777277808445,4,0,1,1
1777277809446,7,0,1,1
1777277810446,7,0,3,3
1777277811446,9,0,4,4
1777277812446,9,0,5,5
1777277813446,10,0,7,7
1777277814447,5,0,7,7
1777277815447,7,0,8,8
1777277816447,5,0,9,9
1777277817448,9,0,10,10
1777277818448,7,0,12,12
1777277819448,13,0,13,13
1777277820448,5,1,14,0
1777277821449,7,0,14,0
1777277822449,8,0,15,1
1777277823449,8,0,17,3
1777277824449,7,0,18,4
1777277825449,9,0,19,5
1777277826449,6,0,20,6
1777277827450,2,1,20,0
1777277828450,9,0,21,1
1777277829450,7,0,21,1
1777277830450,4,2,22,0
1777277831450,9,0,23,1
1777277832450,6,0,23,1
1777277833450,9,0,25,3
1777277834451,14,0,26,4
1777277835451,12,0,27,5
1777277836451,2,2,27,0
1777277837451,5,0,27,0
1777277838452,5,0,28,1
1777277839452,7,1,29,0
1777277840452,2,0,29,0
1777277841452,11,0,31,2
1777277842452,9,2,32,0
1777277843452,4,0,32,0
1777277844453,9,0,33,1
1777277845453,9,0,34,2
1777277846453,9,0,35,3
1777277847453,10,0,37,5
1777277848453,10,0,38,6
1777277849453,10,0,40,8
1777277850454,3,1,40,0
1777277851454,11,0,41,1
1777277852454,9,0,42,2
1777277853454,6,0,43,3
1777277854454,9,0,43,3
1777277855455,5,0,44,4
1777277856455,4,0,44,4
1777277857455,8,0,45,5
1777277858455,4,1,45,0
1777277859455,4,0,45,0
1777277860456,8,0,46,1
1777277861456,9,0,48,3
1777277862456,11,0,49,4
1777277863456,11,0,50,5
1777277864456,11,0,51,6
1777277865457,4,1,52,0
1777277866457,6,0,53,1
1777277867457,8,0,54,2
1777277868457,8,0,54,2
1777277869457,6,4,54,0
1777277870458,7,0,55,1
1777277871458,7,0,56,2
1777277872458,11,0,57,3
1777277873458,4,0,58,4
1777277874458,8,2,59,0
1777277875459,2,0,59,0
1777277876459,5,0,60,1
1777277877459,7,0,61,2
1777277878459,7,0,61,2
1777277879459,5,0,62,3
1777277880459,6,0,63,4
1777277881460,2,2,63,0
1777277882460,6,0,63,0
1777277883460,9,0,64,1
1777277884460,5,0,65,2
1777277885460,9,1,65,0
1777277886460,3,2,65,0
1777277887460,7,0,66,1
1777277888461,5,0,66,1
1777277889461,4,1,67,0
1777277890461,5,2,67,0
1777277891461,2,0,67,0
1777277892461,5,0,68,1
1777277893461,6,2,68,0
1777277894462,6,0,68,0
1777277895462,3,1,69,0
1777277896462,8,0,70,1
1777277897462,7,0,72,3
1777277898462,7,0,72,3
1777277899462,4,2,72,0
1777277900463,8,0,73,1
1777277901463,9,0,74,2
1777277902463,7,0,75,3
1777277903463,9,2,76,0
1777277904463,5,2,76,0
1777277905464,9,2,77,0
1777277906464,5,1,77,0
1777277907464,6,3,77,0
1777277908464,3,1,78,0
1777277909464,6,0,79,1
1777277910465,8,0,80,2
1777277911465,5,2,80,0
1777277912465,11,0,81,1
1777277913465,9,0,82,2
1777277914465,6,0,84,4
1777277915465,4,2,84,0
1777277916466,10,0,86,2
1777277917466,8,0,87,3
1777277918466,11,0,87,3
1777277919466,9,4,88,0
1777277920466,5,0,88,0
1777277921466,8,0,89,1
1777277922466,10,0,91,3
1777277923467,9,0,92,4
1777277924467,8,1,93,0
1777277925467,3,0,93,0
1777277926467,5,0,93,0
1777277927467,7,0,95,2
1777277928467,7,0,96,3
1777277929468,9,0,97,4
1777277930468,7,0,98,5
1777277931468,10,0,99,6
1777277932468,3,1,99,0
1777277933468,8,0,99,0
1777277934469,7,0,100,1
1777277935469,7,0,102,3
1777277936469,8,0,103,4
1777277937469,8,0,103,4
1777277938469,4,0,104,5
1777277939470,6,0,105,6
1777277940470,12,0,107,8
1777277941470,7,0,108,9
1777277942470,2,2,108,0
1777277943470,3,2,108,0
1777277944470,3,0,108,0
1777277945471,3,1,108,0
1777277946471,1,1,108,0
1777277947471,7,0,108,0
1777277948471,11,0,110,2
1777277949471,11,0,111,3
1777277950471,8,0,112,4
1777277951471,4,0,112,4
1777277952472,5,0,113,5
1777277953472,7,0,114,6
1777277954472,6,0,114,6
1777277955472,4,1,115,0
1777277956473,7,0,116,1
1777277957473,2,2,116,0
1777277958473,8,0,116,0
1777277959473,11,0,118,2
1777277960474,5,0,118,2
1777277961474,8,0,119,3
1777277962474,10,0,120,4
