timestampMs,keys_pressed,errors,total_correct,current_streak
1777343789212,0,0,0,0
1777343790212,1,0,1,1
1777343791213,2,0,3,3
1777343792213,2,0,5,5
1777343793213,2,0,7,7
1777343794213,2,0,9,9
1777343795213,2,0,11,11
1777343796214,2,0,13,13
1777343797214,2,1,14,0
1777343798214,1,0,15,1
1777343799214,2,1,16,0
1777343800214,1,1,16,0
1777343801215,2,0,18,2
1777343802215,2,0,20,4
1777343803215,2,0,22,6
1777343804215,2,1,23,1
1777343805215,1,0,24,2
1777343806215,2,0,26,4
1777343807216,2,0,28,6
1777343808216,2,0,30,8
1777343809216,2,0,32,10
1777343810216,2,0,34,12
1777343811216,2,0,36,14
1777343812217,2,0,38,16
1777343813217,1,0,39,17
1777343814217,2,0,41,19
1777343815217,2,0,43,21
1777343816217,2,0,45,23
1777343817217,2,0,47,25
1777343818217,2,0,49,27
1777343819218,1,0,50,28
1777343820218,2,0,52,30
1777343821218,2,0,54,32
1777343822218,2,0,56,34
1777343823218,3,0,59,37
1777343824219,1,1,59,0
1777343825219,2,0,61,2
1777343826219,2,0,63,4
1777343827219,3,0,66,7
1777343828219,2,0,68,9
1777343829220,1,0,69,10
1777343830220,2,0,71,12
1777343831220,2,0,73,14
1777343832220,3,0,76,17
1777343833220,2,0,78,19
1777343834220,2,0,80,21
1777343835221,2,0,82,23
1777343836221,1,0,83,24
1777343837221,3,0,86,27
1777343838221,2,0,88,29
1777343839221,2,0,90,31
1777343840221,1,1,90,0
1777343841222,2,0,92,2
1777343842222,2,0,94,4
1777343843222,2,0,96,6
1777343844222,2,0,98,8
1777343845222,2,0,100,10
1777343846223,1,1,100,0
1777343847223,2,0,102,2
1777343848223,1,0,103,3
1777343849223,2,0,105,5
1777343850223,2,0,107,7
1777343851224,2,0,109,9
1777343852224,2,0,111,11
1777343853224,1,0,112,12
1777343854224,1,0,113,13
1777343855224,2,0,115,15
1777343856225,2,0,117,17
1777343857225,1,0,118,18
1777343858225,2,0,120,20
1777343859225,2,1,121,1
1777343860225,1,0,122,2
1777343861225,1,1,122,0
1777343862226,1,0,123,1
1777343863226,2,1,124,0
1777343864226,1,0,125,1
1777343865226,2,0,127,3
1777343866227,2,0,129,5
1777343867227,1,0,130,6
1777343868227,2,0,132,8
1777343869227,2,0,134,10
1777343870227,2,0,136,12
1777343871228,2,0,138,14
1777343872228,2,0,140,16
1777343873228,2,0,142,18
1777343874228,3,0,145,21
1777343875228,2,0,147,23
1777343876228,1,1,147,0
1777343877229,2,0,149,2
1777343878229,2,0,151,4
1777343879229,1,1,151,0
1777343880229,2,0,153,2
1777343881229,1,0,154,3
1777343882230,2,0,156,5
1777343883230,2,0,158,7
1777343884230,1,0,159,8
1777343885230,1,0,160,9
1777343886230,1,0,161,10
1777343887231,1,0,162,11
1777343888231,1,1,162,0
1777343889231,2,0,164,2
1777343890231,1,0,165,3
1777343891231,2,0,167,5
1777343892232,2,0,169,7
1777343893232,2,0,171,9
1777343894232,1,0,172,10
1777343895232,2,0,174,12
1777343896233,2,0,176,14
1777343897233,1,0,177,15
1777343898233,3,0,180,18
1777343899233,2,1,181,0
1777343900233,0,0,181,0
1777343901233,2,0,183,2
1777343902234,2,0,185,4
1777343903234,2,0,187,6
1777343904234,2,0,189,8
1777343905234,2,0,191,10
1777343906235,1,1,191,0
1777343907235,2,0,193,2
1777343908235,2,1,194,1
1777343909235,2,0,196,3
1777343910235,2,0,198,5
1777343911235,1,0,199,6
1777343912236,2,0,201,8
1777343913236,3,0,204,11
1777343914236,2,0,206,13
1777343915236,2,0,208,15
1777343916236,3,0,211,18
1777343917236,2,0,213,20
1777343918237,2,0,215,22
1777343919237,2,1,216,0
1777343920237,2,0,218,2
1777343921237,2,1,219,1
1777343922238,3,0,222,4
