timestampMs,keys_pressed,errors,total_correct,current_streak
1777341589364,0,0,0,0
1777341590364,1,0,1,1
1777341591365,2,0,3,3
1777341592365,1,0,4,4
1777341593365,3,0,7,7
1777341594365,1,0,8,8
1777341595365,3,0,11,11
1777341596366,2,1,12,0
1777341597366,0,0,12,0
1777341598366,2,0,14,2
1777341599366,2,0,16,4
1777341600366,3,0,19,7
1777341601366,1,1,19,0
1777341602367,2,0,21,2
1777341603367,3,1,23,1
1777341604367,1,0,24,2
1777341605367,2,1,25,1
1777341606367,2,0,27,3
1777341607368,2,0,29,5
1777341608368,2,0,31,7
1777341609368,2,0,33,9
1777341610368,2,0,35,11
1777341611368,2,0,37,13
1777341612369,1,0,38,14
1777341613369,2,0,40,16
1777341614369,2,0,42,18
1777341615369,3,0,45,21
1777341616369,1,0,46,22
1777341617369,2,1,47,1
1777341618370,2,0,49,3
1777341619370,1,0,50,4
1777341620370,2,0,52,6
1777341621370,3,0,55,9
1777341622370,1,1,55,0
1777341623371,2,0,57,2
1777341624371,2,0,59,4
1777341625371,1,0,60,5
1777341626371,2,0,62,7
1777341627371,1,0,63,8
1777341628371,1,0,64,9
1777341629372,2,0,66,11
1777341630372,2,0,68,13
1777341631372,2,0,70,15
1777341632372,3,0,73,18
1777341633372,1,0,74,19
1777341634372,3,0,77,22
1777341635373,2,0,79,24
1777341636373,2,0,81,26
1777341637373,2,0,83,28
1777341638373,2,0,85,30
1777341639373,2,0,87,32
1777341640373,1,0,88,33
1777341641374,2,0,90,35
1777341642374,2,0,92,37
1777341643374,1,0,93,38
1777341644374,2,0,95,40
1777341645374,2,0,97,42
1777341646375,2,0,99,44
1777341647375,1,0,100,45
1777341648375,2,0,102,47
1777341649375,2,0,104,49
1777341650375,2,0,106,51
1777341651375,2,0,108,53
1777341652376,2,0,110,55
1777341653376,3,0,113,58
1777341654376,2,0,115,60
1777341655376,2,0,117,62
1777341656377,2,0,119,64
1777341657377,2,0,121,66
1777341658377,1,0,122,67
1777341659377,2,0,124,69
1777341660377,1,1,124,0
1777341661378,2,0,126,2
1777341662378,2,0,128,4
1777341663378,2,1,129,1
1777341664378,2,0,131,3
1777341665378,2,0,133,5
1777341666378,2,0,135,7
1777341667378,2,0,137,9
1777341668378,1,1,137,0
1777341669378,2,1,138,0
1777341670379,0,0,138,0
1777341671379,2,1,139,0
1777341672379,2,1,140,1
1777341673379,1,0,141,2
1777341674379,2,0,143,4
1777341675379,2,0,145,6
1777341676380,2,0,147,8
1777341677380,1,0,148,9
1777341678380,2,0,150,11
1777341679380,2,0,152,13
1777341680380,1,0,153,14
1777341681380,2,0,155,16
1777341682381,3,0,158,19
1777341683381,2,0,160,21
1777341684381,1,0,161,22
1777341685381,2,0,163,24
1777341686381,2,0,165,26
1777341687382,2,0,167,28
1777341688382,2,0,169,30
1777341689382,2,0,171,32
1777341690382,3,0,174,35
1777341691382,1,1,174,0
1777341692383,2,0,176,2
1777341693383,2,0,178,4
1777341694383,2,0,180,6
1777341695383,2,0,182,8
1777341696383,1,0,183,9
1777341697383,2,0,185,11
1777341698383,1,1,185,0
1777341699384,2,0,187,2
1777341700384,1,0,188,3
1777341701384,2,0,190,5
1777341702384,2,0,192,7
1777341703384,2,0,194,9
1777341704385,2,0,196,11
1777341705385,2,0,198,13
1777341706385,1,0,199,14
1777341707385,2,0,201,16
1777341708385,1,0,202,17
1777341709385,2,0,204,19
1777341710386,1,0,205,20
1777341711386,0,0,205,20
1777341712386,1,0,206,21
1777341713386,1,0,207,22
1777341714386,1,0,208,23
1777341715387,2,0,210,25
1777341716387,2,0,212,27
1777341717387,1,1,212,0
1777341718387,1,0,213,1
1777341719387,0,0,213,1
1777341720387,2,0,215,3
1777341721388,1,0,216,4
1777341722388,2,1,217,0
1777341723388,1,1,217,0
1777341724388,2,0,219,2
1777341725388,2,0,221,4
1777341726388,1,0,222,5
1777341727389,2,0,224,7
1777341728389,2,0,226,9
1777341729389,0,0,226,9
1777341730389,2,0,228,11
1777341731389,2,0,230,13
1777341732389,2,0,232,15
1777341733390,1,0,233,16
1777341734390,2,0,235,18
1777341735390,2,0,237,20
1777341736390,2,0,239,22
1777341737390,1,0,240,23
1777341738390,2,0,242,25
1777341739391,2,1,243,0
1777341740391,0,0,243,0
1777341741391,2,0,245,2
1777341742391,2,0,247,4
1777341743391,0,0,247,4
1777341744392,2,0,249,6
1777341745392,2,0,251,8
1777341746392,2,0,253,10
1777341747392,2,0,255,12
1777341748392,1,0,256,13
1777341749393,2,0,258,15
1777341750393,2,0,260,17
1777341751393,2,0,262,19
1777341752393,2,0,264,21
1777341753393,2,0,266,23
1777341754393,2,0,268,25
1777341755394,2,0,270,27
1777341756394,3,0,273,30
1777341757394,2,0,275,32
1777341758394,2,1,276,0
1777341759394,0,0,276,0
1777341760394,2,1,277,1
1777341761395,2,1,278,1
1777341762395,2,0,280,3
1777341763395,1,0,281,4
1777341764395,2,0,283,6
1777341765395,2,0,285,8
1777341766395,1,0,286,9
1777341767396,2,0,288,11
1777341768396,2,0,290,13
1777341769396,1,0,291,14
1777341770396,2,0,293,16
1777341771396,2,0,295,18
1777341772396,1,0,296,19
1777341773397,1,0,297,20
1777341774397,2,0,299,22
1777341775397,2,0,301,24
1777341776397,2,0,303,26
1777341777397,1,0,304,27
1777341778397,1,0,305,28
1777341779398,2,0,307,30
1777341780398,2,0,309,32
1777341781398,1,0,310,33
1777341782398,1,0,311,34
1777341783398,2,0,313,36
1777341784398,1,1,313,0
1777341785399,1,0,314,1
1777341786399,2,0,316,3
1777341787399,2,0,318,5
1777341788399,1,0,319,6
1777341789399,2,0,321,8
1777341790399,1,0,322,9
1777341791400,2,0,324,11
1777341792400,2,0,326,13
1777341793400,2,0,328,15
1777341794400,2,0,330,17
1777341795400,2,0,332,19
1777341796401,1,0,333,20
1777341797401,2,0,335,22
1777341798401,2,0,337,24
1777341799401,1,0,338,25
1777341800401,2,0,340,27
1777341801402,3,1,342,0
1777341802402,1,0,343,1
1777341803402,1,0,344,2
1777341804402,2,0,346,4
1777341805402,2,0,348,6
1777341806402,1,0,349,7
1777341807403,1,0,350,8
1777341808403,2,0,352,10
1777341809403,1,0,353,11
1777341810403,2,0,355,13
1777341811403,2,0,357,15
1777341812403,2,0,359,17
1777341813403,1,0,360,18
1777341814404,2,0,362,20
1777341815404,2,0,364,22
1777341816404,1,1,364,0
1777341817404,2,1,365,0
1777341818404,2,0,367,2
1777341819404,3,0,370,5
1777341820405,1,0,371,6
1777341821405,2,0,373,8
1777341822405,2,1,374,1
1777341823405,2,0,376,3
1777341824405,1,0,377,4
1777341825405,2,1,378,0
1777341826406,2,0,380,2
1777341827406,2,0,382,4
1777341828406,2,0,384,6
1777341829406,1,0,385,7
1777341830406,2,0,387,9
1777341831407,2,0,389,11
1777341832407,2,0,391,13
1777341833407,1,0,392,14
1777341834407,2,0,394,16
1777341835407,1,1,394,0
1777341836407,2,0,396,2
1777341837408,1,0,397,3
1777341838408,2,0,399,5
1777341839408,2,0,401,7
1777341840408,2,1,402,1
1777341841408,2,0,404,3
1777341842408,2,0,406,5
1777341843409,2,0,408,7
1777341844409,1,0,409,8
1777341845409,2,0,411,10
1777341846409,2,0,413,12
1777341847409,1,0,414,13
1777341848410,2,0,416,15
1777341849410,2,0,418,17
1777341850410,1,0,419,18
1777341851410,2,1,420,0
1777341852411,2,0,422,2
1777341853411,2,0,424,4
1777341854411,1,0,425,5
1777341855411,2,0,427,7
1777341856411,1,0,428,8
1777341857411,2,1,429,0
1777341858412,2,0,431,2
1777341859412,2,0,433,4
1777341860412,2,0,435,6
1777341861412,2,0,437,8
1777341862412,3,0,440,11
1777341863412,2,0,442,13
1777341864413,2,0,444,15
1777341865413,1,0,445,16
1777341866413,2,1,446,0
1777341867413,2,0,448,2
1777341868413,2,0,450,4
1777341869414,2,0,452,6
1777341870414,2,0,454,8
1777341871414,2,0,456,10
1777341872414,1,0,457,11
1777341873414,2,0,459,13
1777341874414,1,0,460,14
1777341875415,2,0,462,16
1777341876415,2,1,463,0
1777341877415,1,0,464,1
1777341878415,3,0,467,4
1777341879415,1,0,468,5
1777341880415,0,0,468,5
1777341881415,2,1,469,1
1777341882416,1,0,470,2
1777341883416,2,0,472,4
1777341884416,2,0,474,6
1777341885416,2,0,476,8
1777341886416,2,0,478,10
1777341887417,1,0,479,11
