timestampMs,keys_pressed,errors,total_words,current_streak
1777279921283,0,0,0,0
1777279922283,2,0,0,0
1777279923284,6,0,1,1
1777279924284,6,0,2,2
1777279925284,8,0,3,3
1777279926284,9,0,4,4
1777279927284,9,0,6,6
1777279928284,12,0,7,7
1777279929285,7,0,9,9
1777279930285,6,0,10,10
1777279931285,4,0,10,10
1777279932285,10,0,11,11
1777279933285,8,0,13,13
1777279934285,10,0,15,15
1777279935285,9,0,16,16
1777279936286,9,0,17,17
1777279937286,8,0,18,18
1777279938286,9,0,20,20
1777279939286,4,2,20,0
1777279940286,3,2,20,0
1777279941286,7,0,21,1
1777279942287,11,0,22,2
1777279943287,4,2,22,0
1777279944287,10,0,23,1
1777279945287,5,0,23,1
1777279946287,7,0,24,2
1777279947287,4,1,24,0
1777279948287,6,1,25,0
1777279949288,5,0,25,0
1777279950288,5,0,26,1
1777279951288,9,0,27,2
1777279952289,8,0,28,3
1777279953289,10,0,29,4
1777279954289,11,0,30,5
1777279955289,8,0,32,7
1777279956289,6,0,33,8
1777279957290,9,0,34,9
1777279958290,5,4,34,0
1777279959290,10,0,35,1
1777279960290,11,0,37,3
1777279961290,9,0,39,5
1777279962291,11,0,40,6
1777279963291,9,0,42,8
1777279964291,9,0,43,9
1777279965291,9,0,44,10
1777279966291,10,0,45,11
1777279967291,4,2,45,0
1777279968291,4,0,45,0
1777279969291,8,0,45,0
1777279970291,6,0,47,2
1777279971292,5,0,47,2
1777279972292,7,0,48,3
1777279973292,8,0,49,4
1777279974292,10,0,51,6
1777279975292,6,2,51,0
1777279976293,7,0,52,1
1777279977293,7,0,52,1
1777279978293,3,1,53,0
1777279979293,9,0,55,2
1777279980293,10,0,56,3
1777279981294,9,0,57,4
1777279982294,9,0,58,5
1777279983294,11,0,59,6
1777279984294,8,0,60,7
1777279985294,3,1,60,0
1777279986295,11,0,61,1
1777279987295,5,1,61,0
1777279988295,9,1,62,0
1777279989295,4,2,62,0
1777279990295,4,1,62,0
1777279991295,8,0,62,0
1777279992295,3,0,63,1
1777279993296,6,0,64,2
1777279994296,10,0,65,3
1777279995296,9,0,66,4
1777279996296,8,0,67,5
1777279997296,10,0,68,6
1777279998296,10,0,70,8
1777279999297,10,0,70,8
1777280000297,7,0,71,9
1777280001297,7,0,72,10
1777280002297,10,0,73,11
1777280003297,9,0,74,12
1777280004297,9,0,76,14
1777280005297,9,0,78,16
1777280006298,3,0,78,16
1777280007298,10,0,80,18
1777280008298,4,1,80,0
1777280009298,5,0,80,0
1777280010298,10,0,82,2
1777280011299,6,0,82,2
1777280012299,9,0,83,3
1777280013299,10,0,85,5
1777280014299,2,1,85,0
1777280015299,7,0,85,0
1777280016299,8,0,87,2
1777280017300,5,2,87,0
1777280018300,5,0,87,0
1777280019300,4,0,87,0
1777280020300,8,0,88,1
1777280021300,6,0,89,2
1777280022300,6,0,89,2
1777280023301,8,0,90,3
1777280024301,7,0,91,4
1777280025301,9,0,92,5
1777280026301,9,0,94,7
1777280027301,8,0,95,8
1777280028302,4,2,95,0
1777280029302,7,0,95,0
1777280030302,6,0,96,1
1777280031302,9,0,97,2
1777280032302,9,0,98,3
1777280033303,6,0,99,4
1777280034303,8,0,100,5
1777280035303,7,0,101,6
1777280036303,8,0,101,6
1777280037303,11,0,103,8
1777280038304,10,0,104,9
1777280039304,9,0,105,10
1777280040304,12,0,107,12
1777280041304,7,0,108,13
1777280042304,9,0,109,14
1777280043304,10,0,110,15
1777280044305,10,0,111,16
1777280045305,6,0,112,17
1777280046305,10,0,113,18
1777280047305,5,2,113,0
1777280048305,3,0,113,0
1777280049305,9,0,114,1
1777280050305,3,1,114,0
1777280051306,8,0,115,1
1777280052306,4,0,116,2
1777280053306,7,0,117,3
1777280054306,8,0,118,4
1777280055306,8,0,119,5
1777280056306,8,1,120,0
1777280057306,4,2,120,0
1777280058307,10,0,121,1
1777280059307,10,0,123,3
1777280060307,5,0,123,3
1777280061307,9,0,124,4
1777280062308,9,0,125,5
1777280063308,9,0,126,6
1777280064308,9,0,127,7
1777280065308,8,0,128,8
1777280066308,10,0,129,9
1777280067308,8,0,130,10
1777280068309,9,0,132,12
1777280069309,9,2,132,0
1777280070309,5,0,132,0
1777280071309,8,1,133,0
1777280072309,3,0,133,0
1777280073309,4,3,133,0
1777280074309,9,0,134,1
1777280075310,12,0,135,2
1777280076310,9,0,137,4
1777280077310,10,0,138,5
1777280078310,11,0,139,6
1777280079310,8,0,140,7
1777280080311,5,1,141,0
1777280081311,3,1,141,0
1777280082311,3,2,141,0
1777280083311,5,0,142,1
1777280084312,8,0,143,2
1777280085312,5,3,143,0
1777280086312,7,1,144,0
1777280087312,5,1,144,0
1777280088312,9,5,145,0
1777280089312,5,0,145,0
1777280090312,7,0,146,1
1777280091313,10,0,148,3
1777280092313,11,0,149,4
1777280093313,10,0,151,6
1777280094313,9,0,152,7
1777280095313,5,3,153,0
1777280096313,6,0,153,0
1777280097314,11,0,154,1
1777280098314,10,0,155,2
1777280099314,9,2,156,0
1777280100314,6,0,157,1
1777280101314,9,0,158,2
1777280102315,9,0,159,3
1777280103315,7,0,160,4
1777280104315,9,0,162,6
1777280105315,8,0,162,6
1777280106316,10,0,163,7
1777280107316,5,0,164,8
1777280108316,7,0,164,8
1777280109316,5,0,165,9
1777280110317,6,0,166,10
1777280111317,8,0,167,11
1777280112317,6,0,168,12
1777280113317,7,0,169,13
1777280114317,10,0,169,13
1777280115317,9,0,171,15
1777280116318,10,2,172,0
1777280117318,6,0,172,0
1777280118318,8,3,173,0
1777280119318,1,0,173,0
1777280120318,6,0,173,0
1777280121319,9,0,174,1
1777280122319,10,0,175,2
1777280123319,7,0,176,3
1777280124320,6,0,176,3
1777280125320,8,0,177,4
1777280126320,8,0,178,5
1777280127320,5,0,178,5
1777280128320,10,0,179,6
1777280129320,10,0,181,8
1777280130321,11,0,182,9
1777280131321,11,0,183,10
1777280132321,5,0,184,11
1777280133321,3,0,184,11
1777280134321,6,0,185,12
1777280135321,9,0,186,13
1777280136322,5,0,187,14
1777280137322,8,0,188,15
1777280138322,10,0,190,17
1777280139322,9,0,191,18
1777280140322,8,0,192,19
1777280141322,9,0,193,20
1777280142323,8,0,194,21
1777280143323,13,0,196,23
1777280144323,9,0,196,23
1777280145323,7,0,197,24
1777280146323,7,0,198,25
1777280147323,3,2,198,0
1777280148324,3,0,198,0
1777280149324,11,0,199,1
1777280150324,10,0,200,2
1777280151324,3,0,200,2
1777280152324,7,3,201,0
1777280153324,6,0,202,1
1777280154324,3,3,202,0
1777280155325,6,2,202,0
1777280156325,4,0,203,1
1777280157325,8,0,204,2
1777280158325,5,0,204,2
1777280159325,8,0,205,3
1777280160325,10,0,207,5
1777280161326,8,0,208,6
1777280162326,11,0,209,7
1777280163326,8,4,210,0
1777280164326,4,0,210,0
1777280165326,9,0,211,1
1777280166326,8,0,212,2
1777280167326,8,0,213,3
1777280168326,6,0,213,3
1777280169327,4,0,214,4
1777280170327,4,0,215,5
1777280171327,8,0,216,6
1777280172327,9,0,217,7
1777280173327,8,0,219,9
1777280174327,10,0,220,10
1777280175328,9,1,221,0
1777280176328,4,0,221,0
1777280177328,4,1,222,0
1777280178328,6,0,223,1
1777280179328,9,0,224,2
1777280180328,9,0,225,3
1777280181329,7,0,226,4
1777280182329,9,0,227,5
1777280183329,8,0,228,6
1777280184329,2,1,228,0
1777280185329,9,0,229,1
1777280186330,7,0,230,2
1777280187330,8,1,231,0
1777280188330,4,0,231,0
1777280189330,8,0,233,2
1777280190330,6,0,234,3
1777280191330,3,1,234,0
1777280192331,8,0,235,1
1777280193331,3,0,235,1
1777280194331,12,0,236,2
1777280195331,4,0,237,3
1777280196331,8,0,238,4
1777280197331,7,0,238,4
1777280198332,6,0,239,5
1777280199332,6,0,239,5
1777280200332,8,0,240,6
1777280201332,8,0,242,8
1777280202332,10,0,244,10
1777280203332,8,4,245,0
1777280204333,7,0,246,1
1777280205333,6,3,247,0
1777280206333,5,0,248,1
1777280207333,6,0,249,2
1777280208333,7,0,250,3
1777280209333,8,0,251,4
1777280210333,5,0,251,4
1777280211334,6,0,253,6
1777280212334,11,0,254,7
1777280213334,8,0,255,8
1777280214334,9,0,256,9
1777280215334,11,0,257,10
1777280216334,10,1,259,0
1777280217334,4,0,259,0
1777280218334,8,0,260,1
1777280219335,5,0,261,2
