timestampMs,keys_pressed,errors,total_correct
1776805202638,0,0,0
1776805203638,0,0,0
1776805204639,2,0,2
1776805205639,2,0,4
1776805206639,1,0,5
1776805207639,1,0,6
1776805208639,2,0,8
1776805209640,2,0,10
1776805210640,1,0,11
1776805211640,2,0,13
1776805212640,2,0,15
1776805213640,2,0,17
1776805214640,1,0,18
1776805215640,1,1,18
1776805216641,2,0,20
1776805217641,1,0,21
1776805218641,1,1,21
1776805219641,0,0,21
1776805220641,2,0,23
1776805221641,1,0,24
1776805222642,2,0,26
1776805223642,1,0,27
1776805224642,3,0,30
1776805225642,1,0,31
1776805226642,2,0,33
1776805227642,1,0,34
1776805228643,2,0,36
1776805229643,2,0,38
1776805230643,2,0,40
1776805231643,1,0,41
1776805232643,2,2,41
1776805233643,0,0,41
1776805234644,1,0,42
1776805235644,1,0,43
1776805236644,1,0,44
1776805237644,2,0,46
1776805238644,2,0,48
1776805239644,2,0,50
1776805240645,2,0,52
1776805241645,1,0,53
1776805242645,2,0,55
1776805243645,1,0,56
1776805244645,1,0,57
1776805245645,2,0,59
1776805246646,1,0,60
1776805247646,2,0,62
1776805248646,1,0,63
1776805249646,2,0,65
1776805250646,1,1,65
1776805251646,1,0,66
1776805252647,2,0,68
1776805253647,1,0,69
1776805254647,2,0,71
1776805255647,2,0,73
1776805256647,1,0,74
1776805257648,2,0,76
1776805258648,2,0,78
1776805259648,1,0,79
1776805260648,1,0,80
1776805261648,1,1,80
1776805262648,1,0,81
1776805263649,2,0,83
1776805264649,1,0,84
1776805265649,1,0,85
1776805266649,3,0,88
1776805267649,2,0,90
1776805268650,2,0,92
1776805269650,2,0,94
1776805270650,1,0,95
1776805271650,2,0,97
1776805272650,2,0,99
1776805273650,1,0,100
1776805274651,2,0,102
1776805275651,2,0,104
1776805276651,2,0,106
1776805277651,2,0,108
1776805278652,2,0,110
1776805279652,1,0,111
1776805280652,2,0,113
1776805281652,2,0,115
1776805282652,0,0,115
1776805283652,2,0,117
1776805284652,1,1,117
1776805285653,0,0,117
1776805286653,1,0,118
1776805287653,2,0,120
1776805288653,1,0,121
1776805289653,2,0,123
1776805290653,2,0,125
1776805291654,1,0,126
1776805292654,2,0,128
1776805293654,1,0,129
1776805294654,1,0,130
1776805295654,1,0,131
1776805296655,2,0,133
1776805297655,1,0,134
1776805298655,2,0,136
1776805299655,1,0,137
1776805300655,1,0,138
1776805301655,2,0,140
1776805302656,1,0,141
1776805303656,1,0,142
1776805304656,1,0,143
1776805305656,3,0,146
1776805306656,1,0,147
1776805307656,2,0,149
1776805308657,2,1,150
1776805309657,0,0,150
1776805310657,2,0,152
1776805311657,2,0,154
1776805312658,1,0,155
1776805313658,2,0,157
1776805314658,1,0,158
1776805315658,1,1,158
1776805316658,0,0,158
1776805317658,2,0,160
1776805318659,0,0,160
1776805319659,1,0,161
1776805320659,2,0,163
1776805321659,2,0,165
1776805322659,1,0,166
1776805323660,1,0,167
1776805324660,2,0,169
1776805325660,2,0,171
1776805326660,2,0,173
1776805327660,2,0,175
1776805328660,2,0,177
1776805329660,2,0,179
1776805330661,1,0,180
1776805331661,2,0,182
1776805332661,1,0,183
1776805333661,2,0,185
1776805334661,2,0,187
1776805335661,1,0,188
1776805336662,0,0,188
1776805337662,1,0,189
1776805338662,2,0,191
1776805339662,2,1,192
1776805340662,0,0,192
1776805341662,1,1,192
1776805342663,0,0,192
1776805343663,1,1,192
1776805344663,1,0,193
1776805345663,2,0,195
1776805346663,1,0,196
1776805347663,2,0,198
1776805348664,1,0,199
1776805349664,1,0,200
1776805350664,2,0,202
1776805351664,1,0,203
1776805352664,2,0,205
1776805353665,1,1,205
1776805354665,0,0,205
1776805355665,2,0,207
1776805356665,2,0,209
1776805357666,1,0,210
1776805358666,1,0,211
1776805359666,2,0,213
1776805360666,1,0,214
1776805361666,1,0,215
1776805362667,2,0,217
1776805363667,2,0,219
