timestampMs,keys_pressed,errors,total_words,current_streak
1777343291700,0,0,0,0
1777343292700,2,0,0,0
1777343293700,6,0,1,1
1777343294701,10,0,3,3
1777343295701,8,2,4,0
1777343296701,5,0,4,0
1777343297701,9,0,5,1
1777343298701,12,0,6,2
1777343299701,10,0,7,3
1777343300701,11,1,9,0
1777343301702,5,3,9,0
1777343302702,13,0,11,2
1777343303702,2,0,11,2
1777343304702,10,0,12,3
1777343305702,10,0,13,4
1777343306702,8,0,14,5
1777343307703,10,0,16,7
1777343308703,11,0,17,8
1777343309703,10,0,19,10
1777343310703,10,0,21,12
1777343311703,5,0,21,12
1777343312704,10,0,22,13
1777343313704,11,0,23,14
1777343314704,10,0,24,15
1777343315704,10,0,25,16
1777343316704,10,0,26,17
1777343317704,12,0,28,19
1777343318705,10,0,29,20
1777343319705,10,0,30,21
1777343320705,8,0,31,22
1777343321705,9,0,32,23
1777343322705,7,0,33,24
1777343323705,3,1,33,0
1777343324706,8,0,34,1
1777343325706,7,0,35,2
1777343326706,9,0,36,3
1777343327706,10,0,37,4
1777343328706,8,0,37,4
1777343329706,9,0,39,6
1777343330707,10,0,40,7
1777343331707,3,1,40,0
1777343332707,9,0,41,1
1777343333707,7,0,41,1
1777343334707,10,0,42,2
1777343335708,11,0,45,5
1777343336708,12,0,46,6
1777343337708,10,0,47,7
1777343338708,9,0,48,8
1777343339708,6,0,48,8
1777343340708,5,0,49,9
1777343341709,8,0,50,10
1777343342709,8,0,51,11
1777343343709,10,0,53,13
1777343344709,5,0,53,13
1777343345709,8,0,54,14
1777343346709,10,0,55,15
1777343347710,8,0,56,16
1777343348710,11,0,57,17
1777343349710,9,0,59,19
1777343350710,10,0,60,20
1777343351710,6,1,61,0
1777343352711,0,0,61,0
1777343353711,7,0,62,1
1777343354711,9,1,63,0
1777343355711,6,1,64,1
1777343356711,10,0,65,2
1777343357711,9,0,67,4
1777343358712,6,2,68,1
1777343359712,7,1,69,0
1777343360712,5,0,69,0
1777343361712,7,0,71,2
1777343362712,8,0,72,3
1777343363712,4,0,72,3
1777343364712,6,1,73,0
1777343365713,3,0,73,0
1777343366713,12,0,75,2
1777343367713,3,1,75,0
1777343368713,2,0,75,0
1777343369714,2,2,75,0
1777343370714,5,0,75,0
1777343371714,6,1,76,0
1777343372714,6,1,76,0
1777343373714,6,0,77,1
1777343374714,5,0,78,2
1777343375715,10,0,80,4
1777343376715,8,0,80,4
1777343377715,10,0,81,5
1777343378715,9,3,82,0
1777343379715,4,0,82,0
1777343380715,9,0,83,1
1777343381716,9,0,85,3
1777343382716,7,0,85,3
1777343383716,8,0,86,4
1777343384716,8,0,88,6
1777343385716,11,0,89,7
1777343386716,10,0,91,9
1777343387716,7,0,92,10
1777343388717,6,0,93,11
1777343389717,5,3,93,0
1777343390717,6,0,94,1
1777343391717,9,0,95,2
1777343392717,6,0,96,3
1777343393718,10,0,97,4
1777343394718,5,1,98,0
1777343395718,5,0,98,0
1777343396718,10,0,100,2
1777343397718,10,0,100,2
1777343398718,10,0,101,3
1777343399719,9,0,102,4
1777343400719,9,0,103,5
1777343401719,8,0,104,6
1777343402719,10,0,105,7
1777343403719,11,0,107,9
1777343404719,2,0,107,9
1777343405719,8,0,109,11
1777343406720,11,1,110,0
1777343407720,6,0,111,1
1777343408720,7,0,111,1
