timestampMs,poorSignal,eegRawValue,eegRawValueVolts,attention,meditation,blinkStrength,delta,theta,alphaLow,alphaHigh,betaLow,betaHigh,gammaLow,gammaMid,tagEvent,location
1776112552269,200,88,1.93359375E-5,0,0,0,1233395,795792,417903,589987,861190,860020,144972,194784,Tag0,unknown
1776112552269,200,87,1.91162109375E-5,0,0,0,1233395,795792,417903,589987,861190,860020,144972,194784,Tag0,unknown
1776112552269,200,85,1.86767578125E-5,0,0,0,1233395,795792,417903,589987,861190,860020,144972,194784,Tag0,unknown
1776112552275,200,84,1.8457031250000004E-5,0,0,0,1233395,795792,417903,589987,861190,860020,144972,194784,Tag0,unknown
1776112552275,200,83,1.82373046875E-5,0,0,0,1233395,795792,417903,589987,861190,860020,144972,194784,Tag0,unknown
1776112552276,200,81,1.77978515625E-5,0,0,0,1233395,795792,417903,589987,861190,860020,144972,194784,Tag0,unknown
1776112552276,200,80,1.7578125E-5,0,0,0,1233395,795792,417903,589987,861190,860020,144972,194784,Tag0,unknown
1776112552276,200,76,1.669921875E-5,0,0,0,1233395,795792,417903,589987,861190,860020,144972,194784,Tag0,unknown
1776112552277,200,75,1.64794921875E-5,0,0,0,1233395,795792,417903,589987,861190,860020,144972,194784,Tag0,unknown
1776112552277,200,74,1.6259765625E-5,0,0,0,1233395,795792,417903,589987,861190,860020,144972,194784,Tag0,unknown
1776112552278,200,73,1.6040039062500002E-5,0,0,0,1233395,795792,417903,589987,861190,860020,144972,194784,Tag0,unknown
1776112552278,200,72,1.58203125E-5,0,0,0,1233395,795792,417903,589987,861190,860020,144972,194784,Tag0,unknown
1776112552291,200,71,1.56005859375E-5,0,0,0,1233395,795792,417903,589987,861190,860020,144972,194784,Tag0,unknown
1776112552292,200,70,1.5380859375E-5,0,0,0,1233395,795792,417903,589987,861190,860020,144972,194784,Tag0,unknown
1776112552292,200,69,1.51611328125E-5,0,0,0,1233395,795792,417903,589987,861190,860020,144972,194784,Tag0,unknown
1776112552293,200,68,1.4941406250000001E-5,0,0,0,1233395,795792,417903,589987,861190,860020,144972,194784,Tag0,unknown
1776112552293,200,67,1.4721679687500002E-5,0,0,0,1233395,795792,417903,589987,861190,860020,144972,194784,Tag0,unknown
1776112552293,200,67,1.4721679687500002E-5,0,0,0,1233395,795792,417903,589987,861190,860020,144972,194784,Tag0,unknown
1776112552294,200,66,1.4501953125E-5,0,0,0,1233395,795792,417903,589987,861190,860020,144972,194784,Tag0,unknown
1776112552308,200,65,1.42822265625E-5,0,0,0,1233395,795792,417903,589987,861190,860020,144972,194784,Tag0,unknown
1776112552308,200,65,1.42822265625E-5,0,0,0,1233395,795792,417903,589987,861190,860020,144972,194784,Tag0,unknown
1776112552309,200,65,1.42822265625E-5,0,0,0,1233395,795792,417903,589987,861190,860020,144972,194784,Tag0,unknown
1776112552309,200,64,1.40625E-5,0,0,0,1233395,795792,417903,589987,861190,860020,144972,194784,Tag0,unknown
1776112552309,200,60,1.318359375E-5,0,0,0,1233395,795792,417903,589987,861190,860020,144972,194784,Tag0,unknown
1776112552310,200,59,1.29638671875E-5,0,0,0,1233395,795792,417903,589987,861190,860020,144972,194784,Tag0,unknown
1776112552310,200,58,1.2744140625E-5,0,0,0,1233395,795792,417903,589987,861190,860020,144972,194784,Tag0,unknown
1776112552310,200,59,1.29638671875E-5,0,0,0,1233395,795792,417903,589987,861190,860020,144972,194784,Tag0,unknown
1776112552310,200,60,1.318359375E-5,0,0,0,1233395,795792,417903,589987,861190,860020,144972,194784,Tag0,unknown
1776112552325,200,61,1.34033203125E-5,0,0,0,1233395,795792,417903,589987,861190,860020,144972,194784,Tag0,unknown
1776112552325,200,60,1.318359375E-5,0,0,0,1233395,795792,417903,589987,861190,860020,144972,194784,Tag0,unknown
1776112552325,200,57,1.2524414062500001E-5,0,0,0,1233395,795792,417903,589987,861190,860020,144972,194784,Tag0,unknown
1776112552326,200,55,1.20849609375E-5,0,0,0,1233395,795792,417903,589987,861190,860020,144972,194784,Tag0,unknown
1776112552326,200,54,1.1865234375000001E-5,0,0,0,1233395,795792,417903,589987,861190,860020,144972,194784,Tag0,unknown
1776112552326,200,55,1.20849609375E-5,0,0,0,1233395,795792,417903,589987,861190,860020,144972,194784,Tag0,unknown
1776112552326,200,55,1.20849609375E-5,0,0,0,1233395,795792,417903,589987,861190,860020,144972,194784,Tag0,unknown
1776112552327,200,55,1.20849609375E-5,0,0,0,1233395,795792,417903,589987,861190,860020,144972,194784,Tag0,unknown
1776112552341,200,55,1.20849609375E-5,0,0,0,1233395,795792,417903,589987,861190,860020,144972,194784,Tag0,unknown
1776112552342,200,54,1.1865234375000001E-5,0,0,0,1233395,795792,417903,589987,861190,860020,144972,194784,Tag0,unknown
1776112552343,200,53,1.1645507812500002E-5,0,0,0,1233395,795792,417903,589987,861190,860020,144972,194784,Tag0,unknown
1776112552343,200,51,1.1206054687499999E-5,0,0,0,1233395,795792,417903,589987,861190,860020,144972,194784,Tag0,unknown
